dcid,sentence
candidateLoanRepay,dcid:candidate Loan Repay
otherLoanRepay,dcid:other Loan Repay
debtsOwedBy,dcid:debts Owed By
lendingEntity,lending Entity
amountPrincipalRepayment,amount Principal Repayment
debtType,debt Type
debtGuaranteeStatus,debt Guarantee Status
debtCreditorType,debt Creditor Type
debtInstrument,debt Instrument
debtFinancer,debt Financer
amountInterestRepayment,amount Interest Repayment
amountOutstanding,amount Outstanding
totalIndivContrib,dcid:total Indiv Contrib
otherPolCmteContrib,dcid:other Pol Cmte Contrib
politicalPartyContrib,dcid:political Party Contrib
indivRefunds,dcid:indiv Refunds
cmteRefunds,dcid:cmte Refunds
qualificationCmteType,dcid:qualification Cmte Type; Whether or not the cmte met qualifications of its type
supportsCandidate,dcid:supports Candidate
ownerCost,"owner Cost; Owner cost is the total housing cost which includes but not limited to costs towards taxes, utilities, insurance, mortgages and fuels"
householdSize,household Size; Size of the household in terms of numbers persons residing in the housing unit
familySize,family Size; Size of the family in terms of numbers of persons in a single-family
subClassificationOf,sub Classification Of
BiologicalKingdom,"Biological Kingdom; Top level group; listed as kingdom but may be interpreted as domain or super kingdom. The following eight groups are recognized: Animalia, Archaea, Bacteria, Chromista, Fungi, Plantae, Protozoa, Viruses"
BiologicalPhylum,Biological Phylum; Phylum in which the taxon has been classified.
BiologicalClass,Biological Class; Class in which the taxon has been classified.
BiologicalOrder,Biological Order; Order in which the taxon has been classified.
BiologicalSuperFamily,Biological Super Family; Superfamily in which the taxon has been classified.
BiologicalFamily,Biological Family; Family in which the taxon has been classified.
BiologicalGenus,Biological Genus; Genus in which the taxon has been classified.
BiologicalSubGenus,Biological Sub Genus; Subgenus in which the taxon has been classified.
BiologicalSpecies,"Biological Species; For hybrids, the multiplication symbol is included in the epithet."
BiologicalInfraSpecies,"Biological Infra Species; The name of the lowest or terminal infraspecific epithet of the scientific Name, excluding any rank designation."
unitOfMeasure,unit Of Measure
UnitOfMeasure,Unit Of Measure; A unit used to denote a quantitative measurement. Entities of this type are often used as the 'unit' property of a statistical variable or observation.
LengthUnitOfMeasure,Length Unit Of Measure; A unit used to denote a measurement of length.
AreaUnitOfMeasure,Area Unit Of Measure; A unit used to denote a measurement of area.
CurrencyUnitOfMeasure,Currency Unit Of Measure; A unit used to denote a measurement of currency.
VolumeUnitOfMeasure,Volume Unit Of Measure; A unit used to denote a measurement of volume.
ConcentrationUnitOfMeasure,Concentration Unit Of Measure; A unit used to denote a measurement of concentration.
TimeUnitOfMeasure,Time Unit Of Measure; A unit used to denote a measurement of time.
SpeedUnitOfMeasure,Speed Unit Of Measure; A unit used to denote a measurement of speed.
PressureUnitOfMeasure,Pressure Unit Of Measure; A unit used to denote a measurement of pressure.
WeightUnitOfMeasure,Weight Unit Of Measure; A unit used to denote a measurement of weight.
shortDisplayName,dcid:short Display Name; A shortened name for display on charts and other visual components.
EnergyUnitOfMeasure,Energy Unit Of Measure; A unit used to denote a measurement of energy.
currency,currency
TemperatureUnitOfMeasure,Temperature Unit Of Measure; A unit used to denote a measurement of temperature.
Celsius,Celsius
Kelvin,Kelvin
PrecipitationUnitOfMeasure,Precipitation Unit Of Measure; A unit used to denote a measurement of precipitation.
KilogramsPerMeterSquaredSecond,Kilograms Per Meter Squared Second
PublicUtility,"Public Utility; An organization that maintains the infrastructure for a public service (often also providing a service using that infrastructure). Public utilities are subject to forms of public control and regulation ranging from local community-based groups to statewide government monopolies."",""Type of public utility, like electricity, energy."
ORISPLCode,orispl
PowerPlantUnit,Power Plant Unit
so2Mass,so2 Mass
so2Rate,so2 Rate
noxMass,nox Mass
noxRate,nox Rate
co2Mass,co2 Mass
co2Rate,co2 Rate
heatInput,heat Input
gLoad,g Load
sLoad,s Load
QuantityRange,"Quantity Range; A numeric range with a lower bound, upper bound, and unit"
startValue,start Value
endValue,end Value
MedicareEnrollee,Medicare Enrollee; A person age 65 or older enrolled in Medicare.
medicareType,medicare Type
ReimbursementObservation,Reimbursement Observation; An Observation describing a reimbursement for a service or product.
hasMedicareReimbursementFor,has Medicare Reimbursement For; Reimbursement for Medicare costs.
MortalityEvent,Mortality Event; Death
patientAge,patient Age; Age of the patient who received a medical procedure.
patientRace,patient Race; Race of the patient who received a medical procedure.
DrugDistribution,"Drug Distribution; Total amount of drugs, by mass, distributed in a location."
drugPrescribed,drug Prescribed; Specified prescribed drug.
retailDrugDistribution,retail Drug Distribution; Total retail drugs distributed per location within the time period.
residentialSegregationNonWhiteWhite,residential Segregation Non White White; Amount of residential segregation between non-white and white county residents.
residentialSegregationBlackWhite,residential Segregation Black White; Amount of residential segregation between black and white county residents.
lifeExpectancy,"life Expectancy; Life expectancy"",""The number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life."
SocialAssociation,"Social Association; A membership in a civic organization, such as bowling centers, golf clubs, fitness centers, sports organizations, religious organizations, political organizations, labor organizations, business organizations, and professional organizations."
RecreationalFacility,"Recreational Facility; A recreational facility such as play areas, swimming pools, sports facilities, fishing piers, boating facilities, golf courses, and amusement rides."
foodEnvironmentIndex,food Environment Index; Index of factors that contribute to a healthy food environment. Factors include distance from the grocery store and whether there is a reliable source of food.
yearsPotentialLifeLost,years Potential Life Lost; Years of potential life lost.
childMortality,child Mortality; The child mortality rate or count of an administrative area.
zipsWithAccessToHealthyFoods,"zips With Access To Healthy Foods; Number or percentage of zip codes in a county with limited access to healthy foods. Limited access is defined as living far (>10 miles for rural areas, >1 mile in nonrural areas) from a grocery store."
deceasedAge,deceased Age; Age of the deceased.
deceasedRace,deceased Race; Race of the deceased.
highSchoolGraduationRate,high School Graduation Rate; The high school graduation rate is a percentage of the ninth-grade cohort that graduates in four years.
constraintProperties,"constraint Properties; A set of property-value pairs that are used to provide additional characteristics of a population of a Statistical Variable. For example, a variable whose population Type is 'Person' could specify additional properties such as 'race' or 'age'."
PostalCodeArea,"Postal Code Area; A designated place for the purpose of sorting mail. Usually identified by a series of letters and/or digits included in a postal address. Also known locally in various English-speaking countries throughout the world as a postcode, post code, PIN, or ZIP Code."
StatisticalVariable,Statistical Variable; Represents any type of statistical metric that can be measured at a place and time.
StatVarObservation,Stat Var Observation; Represents an observed measurement of a Statistical Variable at a particular place and time.
StatVarGroup,"Stat Var Group; Represents a grouping of Statistical Variable nodes, typically for display purposes. For example, the categories of variables in the Statistical Variable Explorer (e.g. 'Demographics', 'Agriculture') are defined as stat var groups"
specializationOf,"specialization Of; Represents a specialization of another entity, typically used for an enum value or a Stat Var Group. For example, the 'Demographics' Stat Var Group is a specialization of the 'Root' Stat Var Group."
displayRank,display Rank; Represents a rank used to order entities in a UI display.  Comparable entities with a smaller rank value are given higher preference.  Entities without a specified rank value come after those with one.
observationAbout,observation About; Identifies the entity (typically a place) associated with a Stat Var Observation.
variableMeasured,variable Measured; Identifies the Statistical Variable associated with an Stat Var Observation.
StatisticalVariableSlice,"Statistical Variable Slice; Represents a set of related Statistical Variable entities, that typically differ only in the values taken by a specific constraining property."
PlaceStatisticalVariable,Place Statistical Variable
measurementDenominator,measurement Denominator; Identifies the Statistical Variable used as the denominator when a Statistical Variable or Stat Var Observation represents a ratio or percentage.
scalingFactor,"scaling Factor; Used in conjunction with measurement Denominator, this indicates the factor the denominator is to be scaled by."
keyString,key String; Internally generated property with the concatenated property=value strings for the Stat Var Observation
measurementQualifier,"measurement Qualifier; Provides additional information on the measurement reported by a Statistical Variable. For example, a variable measuring the price of goods may use the qualifier 'nominal'."
relatedLocations,related Locations; Related locations for a kind of Place Statistical Variable.
variable,variable; Variable of an entity.
statType,"stat Type; Indicates the type of measurement a Statistical Variable represents. Some examples are measured Value, max Value, min Value, std Error, etc."
rankFromTop,"rank From Top; Rank (from top) of the place among all locations with the same attributes, for a given ranking algorithm."
rankFromBottom,"rank From Bottom; Rank (from bottom) of the place among all locations with the same attributes, for a given ranking algorithm."
top1000Locations,"top1000 Locations; Top 1000 locations with the same Place Statistical Variable attributes, for a given ranking algorithm."
bottom1000Locations,"bottom1000 Locations; Bottom 1000 locations with the same Place Statistical Variable attributes, for a given ranking algorithm."
allLocations,"all Locations; All locations with the same Place Statistical Variable attributes, for a given ranking algorithm."
relatedLocationsPlaceType,related Locations Place Type; The common place type for the related locations for a Place Statistical Variable.
rankByPerCapita,rank By Per Capita; If the ranking computation is by per capita.
scaledScore,scaled Score
isic,"isic; This specifies the economic activity type from the International Standard Industrial Classification of All Economic Activities, Version 3.1."
EmergencyRoom,"Emergency Room; A medical treatment facility specializing in emergency medicine, the acute care of patients who present without prior appointment."
genderIncomeInequality,gender Income Inequality
carnegieResidenceType,carnegie Residence Type; Carnegie classification of educational institution residence type.
carnegieType,carnegie Type; Carnegie classification of educational institution type.
carnegieSize,carnegie Size; Carnegie classification of educational institution size.
UnemploymentInsuranceClaim,Unemployment Insurance Claim; A request for unemployment insurance benefits.
claimType,"claim Type; Further specification on the type of a claim, application, or request."
benefitProgram,"benefit Program; A program that offers benefits. E.g. SNAP (foodstamps), UI (Unemployment Insurance), etc."
unemploymentInsuranceStatus,unemployment Insurance Status; Indicates whether or what type of unemployment insurance someone has.
insuredUnemploymentRate,insured Unemployment Rate; The insured unemployment rate is Continued Claims (also called insured unemployment) divided by Covered Employment.
Incident,"Incident; A singular case of something. For example, a medical case."
MedicalConditionIncident,"Medical Condition Incident; A medical condition incident, such as a case of pneumonia."
incidentType,incident Type
medicalStatus,medical Status; Used to indicate the status of a medical condition incident.
nearbyPlaces,"nearby Places; Five closest places (and distances, with the same place type) to a given place."
censusACSTableId,census ACSTable Id; American Census Survey table ID.
MedicalTest,Medical Test
digitalElevationModel,digital Elevation Model; Average elevation based on Digital Elevation Model (DEM).
sourceScalingFactor,source Scaling Factor; Describes the scaling factor that was used by the source dataset. Imported data are scaled on a per-unit basis.
PlaceVisitEvent,"Place Visit Event; A visit to a place, such as a library, park, store, country, etc."
placeCategory,"place Category; Describes the type a place is. For example, a Safeway store has a place category of Grocery."
covid19MobilityTrend,covid19 Mobility Trend; The percent increase or decrease from the baseline mobility (as determined by the source) for a category.
Workplace,Workplace; The place where a person works.
TransportHub,Transport Hub; The place where passengers and cargo are exchanged between vehicles or/and between transport modes.
HumanSettlementClassificationEnum,"Human Settlement Classification Enum; Enumeration of different types of human settlements, such as Urban, Rural, etc."
Urban,"Urban; An urban area, or built-up area, is a human settlement with a high population density and infrastructure of built environment."
Rural,"Rural; A geographic area that is located outside towns and cities, typically with low population density and small settlements."
UnknownPlaceOfResidence,Unknown Place Of Residence
SlumArea,Slum Area
SemiUrban,Semi Urban; A geographic area with population density lower than urban and more than rural.
isoCode,iso Code; The standard code determined by the International Organization for Standardization.
nutsCode,nuts Code; Nomenclature of Territorial Units for Statistics or NUTS is a geocode standard for referencing the subdivisions of countries for statistical purposes.
socialCategory,"social Category; Identifies a designated group of people. For example, Scheduled Tribes (ST) in India."
internetSubscriptionType,internet Subscription Type; Identifies the type of Internet subscription.
legislationPassedBy,legislation Passed By; Identifies the organization that passed a legislation.
literacyStatus,literacy Status; Identifies the literacy level of a person or household.
lunchEligiblity,lunch Eligiblity; Indicates the type of lunch eligibility for students.
numberOfVehicles,number Of Vehicles
productType,product Type; Identifies the type or category of a product.
residenceType,residence Type; Identifies the type of residence a person resides in.
enrollmentLevel,enrollment Level; Identifies a person's enrollment level.
workCategory,work Category; Identifies a person's category of work.
workerClassification,worker Classification; Identifies a person's worker classification.
enrollmentStatus,enrollment Status; Identifies a person's enrollment status.
expensor,"expensor; Identifies the expensor of an economic activity. For example, Government."
familyIncome,family Income; Identifies the family income of a person.
householderGender,householder Gender; Identifies the gender of the householder of a household.
medicalCode,medical Code; Identifies the medical code for a medical procedure.
medicalEventEnum,medical Event Enum; Identifies the medical event type.
dissolutionDate,dissolution Date; Identifies the date when a place ceased to exist (in ISO 8601 format).
baseDate,base Date; Identifies the date to compare observations to (in ISO 8601 format).
causeOfDeath,cause Of Death
testResult,test Result
economicSector,economic Sector
workPeriod,work Period
usualHoursWorked,"usual Hours Worked; The number of hours a person usually worked in a work week. If the number of hours worked vary considerably across work weeks, this can also be looked as the approximate average of the hours worked per week."
workerStatus,worker Status
workStatus,work Status
vaccineType,vaccine Type
VaccineTypeEnum,Vaccine Type Enum
BCG,Bacille Calmette Guerin(BCG)
DPT3,"Diphtheria, Tetanus toxoid and Pertussis(DPT3)"
HaemophilusInfluenzaeTypeB,Haemophilus Influenzae Type B(HIB)
Penta,Penta Vaccine
Vaccine,Vaccine; A biological preparation that provides active acquired immunity to a particular infectious disease
vaccineStatus,vaccine Status
vaccineDoseReceived,vaccine Dose Received
vaccineInformation,vaccine Information
VaccineInformationEnum,Vaccine Information Enum
VaccinationCard,Vaccination Card
MotherRecall,Mother Recall
vaccinationCentre,vaccination Centre
doseTimeFrame,dose Time Frame
DoseTimeFrameEnum,Dose Time Frame Enum
Last6Months,Last6 Months
closeMatch,close Match
ochaPCode,"ocha PCode; A P-code, short for place code, is a kind of geocode from UN OCHA used mostly by emergency response teams."
indianCensusAreaCode2011,"indian Census Area Code2011; An identifier for a place for Census of India, 2011, assigned by Office of the Registrar General & Census Commissioner, India."
indianCensusAreaCode2001,"indian Census Area Code2001; An identifier for a place for Census of India, 2001, assigned by Office of the Registrar General & Census Commissioner, India."
lgdCode,"lgd Code; A unique code for a place, used by Local Government Directory, India, issued in compliance with e Governance Standards under Ne GP."
udiseCode,udise Code; A unique code for a place in India as per the Unified District Information System for Education (UDISE).
censusDivisionId,census Division Id; An identifier for a census division which is a subdivision of a census region. The US has states grouped into 9 divisions.
censusRegionId,census Region Id; An identifier for a census region. The US has states grouped into 4 regions which are sub-divided into 9 census regions.
cost,cost; The value of money that has been used up to produce something or deliver a service.
confidenceIntervalLowerLimit,confidence Interval Lower Limit; The lower limit of a confidence interval for a measured value.
confidenceIntervalUpperLimit,confidence Interval Upper Limit; The upper limit of a confidence interval for a measured value.
confidenceIntervalSignificanceLevel,"confidence Interval Significance Level; The probability (expressed as a precentage) of a study/experiment rejecting the null hypothesis about a parameter/estimate, given that the null hypothesis is true. It corresponds to the confidence interval constructed."
predictionIntervalUpperLimit,"prediction Interval Upper Limit; The upper limit of a prediction interval within which a future observation will fall, with a certain probability, given what has already been observed."
predictionIntervalLowerLimit,"prediction Interval Lower Limit; The lower limit of a prediction interval within which a future observation will fall, with a certain probability, given what has already been observed."
predictionIntervalSignificanceLevel,prediction Interval Significance Level; The probability (expressed as a percentage) of a predicted/estimated value falling within the prediction interval specified.
ProbabilityDistributionTypeEnum,Probability Distribution Type Enum
GaussianDistribution,Gaussian Distribution
MixtureGaussianDistribution,Mixture of Gaussians Distribution
GammaDistribution,Gamma Distribution
MixtureGammaDistribution,Mixture of Gammas Distribution
probabilityDistributionType,probability Distribution Type; The type of probability distribution
numberOfDays,number Of Days
numberOfMonths,number Of Months
AmenityFeatureEnum,Amenity Feature Enum
Library,Library
ComputerFacility,Computer Facility
Internet,Internet
internetUsageLocation,internet Usage Location
InternetUsageLocationEnum,Internet Usage Location Enum
AnyLocation,Any Location
Work,Work
PublicPlace,Public Place
solute,solute; A solute is a substance dissolved in another substance
solvent,solvent; A solvent is a substance that dissolves another substance
Glacier,Glacier; A persistent body of dense ice that is constantly moving under its own weight.
glimsId,glims Id; Identifier of a glacier in GLIMS (Global Land Ice Measurements from Space) databases.
rgiId,rgi Id; Identifier of a glacier in Randolph Glacier Inventory.
isProvisional,is Provisional; Boolean flag for schema nodes that are not yet finalized
climaticSeason,climatic Season; A season is a period of the year that is distinguished by special climate conditions.
linkedContainedInPlace,linked Contained In Place; This a derived property that directly associates entities that are directly and indirectly related by contained In Place relations.
exchangeRate,"exchange Rate; The price of a base currency needed in order to exchange to a single unit of another currency, e.g. if the exchange rate of EUR to GBP is 1.2, it takes 1.2 EUR to exchange for 1 GBP."
currencyISOCode,currency ISOCode; The current ISO 4217 code assigned to a currency unit.
usesCurrency,uses Currency; The unit of currency used by a Place.
Topic,"Topic; Represents a broad topic in the real-world such as economy, poverty, crime, etc.  Typically used to associated variables (Statistical Variable) related to a common concept."
relevantVariable,List of variables relevant to a topic.  Contains a list of ordered values.
relevantVariableList,List of variables relevant to a topic.  Contains a comma-separated list of ordered values.
StatVarPeerGroup,"Stat Var Peer Group; A grouping of statistical variables that have similar characteristics, for the purposes of answering natural-language queries. An example could be a group of variables that are all related to the number of people in a particular place, but have different measured properties."
isFallbackRoot,is Fallback Root; Indicates that the Stat Var Group is to act as the root for all Statistical Variable nodes that are not explicitly assigned to be a member of a Stat Var Group. This is relevant only in the context of a Custom Data Commons instance.
abbreviation,"abbreviation; A shortened form of a word, phrase, or name."
alternativeID,alternative ID; Another identifier that is associated with a thing.
geoLevel,geo Level; The geo granularity at which a variable has data for
ageGroupClassification,age Group Classification; People classified based on their age group.
AgeGroupClassificationEnum,Age Group Classification Enum
Newborn,Newborn; Kids who are newborn to one month old.
Children,Children; Kids who are one to twelve years old.
Adolescents,Adolescents; Kids who are thirteen to seventeen years old.
Adults,Adults; People who are eighteen years or more.
OlderAdults,Older Adults; People who are sixty-five years or more.
Perinatal,Perinatal; Refers to the number of still-births and deaths of persons under 7 days of age per thousand live-births and still-births
Neonate,"Neonate; A newborn child, especially one who is less than a month old."
MaritalStatusEnum,Marital Status Enum
LivingTogether,Living Together
Married,Married
MarriedOrSeparated,Married or Separated
NotLivingTogether,Not Living Together
MarriedBefore18Years,Married Before18 Years
MarriedBefore21Years,Married Before21 Years
memberList,"A list of statistical variables, with similar characteristics, that are grouped together to form a Stat Var Peer Group, for the purpose of answering natural-language queries."",""List of members.  Contains a comma-separated list of ordered values."
NewZealand_CivilUnion,"New Zealand_Civil Union; A civil union is a legally recognized arrangement similar to marriage, created primarily as a means to provide recognition in law for same-sex couples."
naturalPopulationGrowth,"natural Population Growth; The difference between the birth rate and the death rate of a country, is defined as the birth rate subtracted by the death rate of a particular population, over a particular time period"
incomeType,income Type; Type of income a person received.
incomeSource,income Source; Priority level of the job a person is getting an income from. A Main Job or All Jobs
consumerGoodsCategory,consumer Goods Category; Products and Services that fall under Consumer Price Index
varianceValue,"variance Value; Variance is a measure of dispersion, meaning it is a measure of how far a set of numbers is spread out from their average value."
consumerPriceIndexWeight,consumer Price Index Weight; The CPI measures the change in the cost of living from one period to the next.Household spending weights are used to average the changes in component goods and services into the All-items index.
HealthEstablishment,Health Establishment; Health related establishment
healthEstablishmentType,health Establishment Type
healthCareAdvice,health Care Advice
HealthCareAdviceEnum,Health Care Advice Enum
HealthWorkerTalkedAboutFamilyPlanning,Health Worker Talked About Family Planning
HealthWorkerEnum,Health Worker Enum
HealthPersonnel,Health Personnel
Doctor,Doctor
LadyHealthVisitor,Lady Health Visitor
Nurse,Nurse
AuxiliaryNurseMidwifery,Auxiliary Nurse Midwifery
Midwife,Midwife
HealthProvider,Health Provider
footnote,footnote; Footnote for a Statistical Variable.
palmaRatio,palma Ratio; The Palma ratio is a measure of inequality that divides the share received by the richest 10% by the share of the poorest 40%
includedIn,"included In; Indicates that an entity is included in another entity. For example, a variable (Statistical Variable) included in an import (Provenance)."
investmentProgram,investment Program; The type of program under which the investment is done.
economicProgram,economic Program; The administration sector responsible for development
investment,investment
investmentSource,investment Source
jobStatus,job Status
NTIA_OtherRace,NTIA Other Race
Home,Home
internetUsagePurpose,internet Usage Purpose
InternetUsagePurposeEnum,Internet Usage Purpose Enum
JobSearchUsage,Job Search Usage
OnlineClassUsage,Online Class Usage
JobTrainningUsage,Job Trainning Usage
FinancialServicesUsage,Financial Services Usage
reasonNotUsingInternetAtHome,reason Not Using Internet At Home
ReasonNotUsingInternetAtHomeEnum,Reason Not Using Internet At Home Enum
InternetUseElsewhere,Internet Use Elsewhere
InternetNotNeeded,Internet Not Needed
InternetNotInterested,Internet Not Interested
InternetInadequateComputer,Internet Inadequate Computer
InternetExpensive,Internet Expensive
InternetPrivacyConcerns,Internet Privacy Concerns
InternetSecurityConcerns,Internet Security Concerns
InternetUnavailableInArea,Internet Unavailable In Area
factorForInternetService,factor For Internet Service
FactorForInternetServiceEnum,Factor For Internet Service Enum
FactorForHomeInternetAffordability,Factor For Home Internet Affordability
FactorForHomeInternetCustomerService,Factor For Home Internet Customer Service
InternetBundle,Internet Bundle
FactorForHomeInternetMobility,Factor For Home Internet Mobility
FactorForHomeInternetReliability,Factor For Home Internet Reliability
FactorForHomeInternetServiceSpeed,Factor For Home Internet Service Speed
electronicGadgetUsed,electronic Gadget Used
ElectronicGadgetUsedEnum,Electronic Gadget Used Enum
DesktopUser,Desktop User
TabletUser,Tablet User
LaptopUser,Laptop User
MobileUser,Mobile User
SmartTelevisionUser,Smart Television User
EbookReaderUser,Ebook Reader User
HealthDataResearchUsage,Health Data Research Usage
TelecommutesUsage,Telecommutes Usage
EmailUsage,Email Usage
TextMessagingUsage,Text Messaging Usage
WatchingVideosUsage,Watching Videos Usage
FactorForHomeInternetDataLimit,Factor For Home Internet Data Limit
WebBrowsingUsage,Web Browsing Usage
VideoCallsUsage,Video Calls Usage
AudioCallsUsage,Audio Calls Usage
ConferencingUsage,Conferencing Usage
StreamingUsage,Streaming Usage
MediaDownloadUsage,Media Download Usage
HealthMonitoringServicesUsage,Health Monitoring Services Usage
SocialNetworksUsage,Social Networks Usage
OutsideHome,Outside Home
FreeInternet,Free Internet
WearableDeviceUser,Wearable Device User
Traveling,Traveling
Cafeteria,Cafeteria
ServiceForSaleUsage,Service For Sale Usage
UploadMediaUsage,Upload Media Usage
GoodsSellingUsage,Goods Selling Usage
southAfricanMunicipalityCode,south African Municipality Code; Identifier for a municipality in South Africa
financialProduct,financial Product; It is the Point of Sale or payment method for transactions.
productStatus,product Status; Status on the medium of the transaction.
transactionStatus,transaction Status; It is the status of the transactions.
issuerBank,issuer Bank
isNormalizable,is Normalizable; Identifies whether the Statistical Variable supports normalization by another Statistical Variable.
denominatorForNormalization,"denominator For Normalization; Additional Statistical Variable that can be used for normalizing this Statistical Variable. If unspecified and `is Normalizable` is True, then `Count_Person` is the default."
license,"license; A license document that applies to this content, typically indicated by URL."
licenseAttribution,license Attribution; Details about the license attribution for the provenance.
licenseType,license Type; Type of data license for certain common types.
SourceStatVarInfo,"Source Stat Var Info; A property of a Statistical Variable that references the source dataset from which it was derived. The Source Stat Var Info is essentially the same as a Provenance, with an internal encoding representing the statistical variable."
url,url
description,description
isPartOf,is Part Of
statisticsCanadaGeographicCode,statistics Canada Geographic Code; Unique codes for categorizing and enumerating the census geographic units of Canada
StatisticalAggregation,"Statistical Aggregation; Custom aggregation of statistical data in Data Commons, computed by Data Commons. For example, aggregating population with health insurance stats available at county-level to state-level."
AggregationSlice,"Aggregation Slice; Filter to a Data Commons Statistical Aggregation consisting of a property and one or more values, which will further slice the output data. For example, the count of earthquakes might be sliced by different magnitude ranges."
StatisticalCalculation,"Statistical Calculation; Custom calculation in Data Commons, computed by Data Commons. For example, computing the population without health insurance using an exhaustive age breakdown of such population."
aggregateProperty,"Property being aggregated in a Data Commons Statistical Aggregation. This could be a Statistical Variable when aggregating across places, or a constraint property when aggregating entities."
aggregationMethod,"Method by which data is aggregated (minimum, maximum, sum, etc)."
aggregationSlice,"Filter to a Data Commons Statistical Aggregation, which will further slice the output data. Output Statistical Variables will be generated for each slice in the filter."
aggregationSliceProperty,Property to filter a Data Commons Statistical Aggregation by. Entities will be grouped by this property when computing the aggregation.
aggregationSliceValue,Value to filter a Data Commons Statistical Aggregation by. Entities will be grouped by this value when computing the aggregation.
inputEntity,"Type of input entity to a Data Commons Statistical Aggregation (place type, event type, etc)."
inputTimeProperty,Input property in a Data Commons Statistical Aggregation that will be used to indicate the time. Required for aggregating entities. Output Stat Var Observations will use this property to determine their date.
linkProperty,"Property linking input to output entities in a Data Commons Statistical Aggregation, such as containment, membership, or hierarchy."
outputEntity,Type of output entity to a Data Commons Statistical Aggregation. The output Stat Var Observations will be attached to entities associated with this type.
outputTimeGranularity,"Date pattern (ISO 8601) to match for aggregating by time. Inputs will by grouped by this date pattern, and the output Stat Var Observations will have dates of this pattern."
inputPropertyExpression,"Mathematical expression consisting of properties (typically Statistical Variables) representing a Data Commons Statistical Calculation. Valid operators include +, -, *, /. For example, (Count_Person_Male + Count_Person_Female)."
operatedEntity,Type of entity for which to perform a Data Commons Statistical Calculation.
outputProperty,Output property to hold the result of a Data Commons Statistical Calculation. This is typically a Statistical Variable.
Canton,Canton
socialVulnerabilityIndex,"social Vulnerability Index; CDC/ATSDR SVI or SVI is a place-based index, database, and mapping application designed to identify and quantify communities experiencing social vulnerability"
vulnerabilityStatus,vulnerability Status
percentileRankValue,"percentile Rank Value; Percentile ranking values range from 0 to 1, with higher values indicating greater social vulnerability"
StatisticalRegion,Statistical Region
FullTimeEmployee,Full Time Employee
wealthIndex,wealth Index
WealthIndexEnum,Wealth Index Enum
LowestWealthIndex,Lowest Wealth Index; This category represents the bottom 0% to 20% of the population in terms of wealth distribution and includes the poorest households
SecondWealthIndex,Second Wealth Index; This group falls within the 21% to 40% range of the total population based on wealth and consists of the poor segment.
MiddleWealthIndex,"Middle Wealth Index; Households in this category are ranked between 41% and 60% in wealth distribution, representing the middle-class population."
FourthWealthIndex,"Fourth Wealth Index; This group includes those who fall within the 61% to 80% range of the wealth spectrum, classified as the rich segment."
HighestWealthIndex,"Highest Wealth Index; Representing the top 81% to 100%, this category includes the richest segment of the population."
compositeConsumerPriceIndex,composite Consumer Price Index
modeOfTransportation,mode Of Transportation
agricultureType,agriculture Type
industryType,industry Type
comparisonPeriod,comparison Period
courseSpecialization,course Specialization
medicalSpecialization,medical Specialization
serviceCategory,service Category
RetailAndFoodServices,Retail and food services
RetailAndFoodServicesExcludingMotorVehicleParts,Retail and food services excluding motor vehicle parts
RetailAndFoodServicesExcludingGasolineStations,Retail and food services excluding gasoline stations
RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations,Retail and food services excluding motor vehicle parts and gasoline stations
RetailServices,Retail services
RetailServicesExcludingMotorVehiclePartsDealer,Retail services excluding motor vehicle parts dealer
activitySource,"activity Source; The source of economic activity. For example, GDP & GNI."
StatVarObsSeries,Stat Var Obs Series; A series of observations for a Statistical Variable and entity.
Fruits,Fruits
NetValue,Net Value
Wool,Wool
eiaSeriesId,eia Series Id; Series ID it's only for the EIA import.
retailPrice,retail Price
retailSales,retail Sales
salesRevenue,sales Revenue
RowHouse,Row House
InstitutionalHousehold,Institutional Household
Abortion,Abortion
healthDepartmentType,health Department Type
HealthDepartmentTypeEnum,Health Department Type Enum
InternalMedicine,Internal Medicine
SurgeryAndTraumatology,Surgery And Traumatology
Ophthalmology,Ophthalmology
Otolaryngology,Otolaryngology
Obstetrics,Obstetrics
Gynecology,Gynecology
Neurology,Neurology
PsychiatryAndNarcology,Psychiatry And Narcology
wasteTreatmentType,waste Treatment Type
WasteTreatmentTypeEnum,Waste Treatment Type Enum
WasteWaterTreatment,Waste Water Treatment
EconomyMajor,Economy Major
PhilosophyMajor,Philosophy Major
ManagementAndAdministrationMajor,Management And Administration Major
AccountingAndTaxationMajor,Accounting And Taxation Major
NaturalSciencesMajor,Natural Sciences Major
EnvironmentMajor,Environment Major
InformationAndCommunicationsTechnologiesMajor,Information And Communications Technologies Major
ConstructionEngineering,Construction Engineering
Industries,Industries
ProcessingEngineering,Processing Engineering
VeterinaryMedicineMajor,Veterinary Medicine Major
OralAndMaxillofacialStudies,Oral And Maxillofacial Studies
NursingAndMidwifery,Nursing And Midwifery
Pharmacology,Pharmacology
Traditional,Traditional
Medicine,Medicine
SocialWelfare,Social Welfare
ServicesRelatedMajor,Services Related Major
GeneralBasicCurriculumMajor,General Basic Curriculum Major
ArtsMajor,Arts Major
Languages,Languages
UpperDiploma,Upper Diploma
ForestryEngineering,Forestry Engineering
Fisheries,Fisheries
Veterinary,Veterinary
